,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Embarked,Deck,Relatives,Age_Class
0,0,3,2,1,1,1,0,0,2,7,1,3
1,1,3,1,0,2,0,0,1,2,7,0,6
2,1,1,3,0,4,1,0,5,2,2,1,4
3,0,3,2,1,4,0,0,1,2,7,0,12
4,0,3,2,1,3,0,0,2,1,7,0,9
5,0,1,2,1,5,0,0,5,2,4,0,5
6,1,3,3,0,2,0,2,2,2,7,2,6
7,1,2,3,0,0,1,0,4,0,7,1,0
8,0,3,2,1,1,0,0,1,2,7,0,3
9,0,3,2,1,4,1,5,4,2,7,6,12
10,0,3,1,0,0,0,0,1,2,7,0,0
11,1,2,2,1,3,0,0,2,2,7,0,6
12,0,3,3,0,4,1,0,3,2,7,1,12
13,1,3,3,0,3,0,0,0,0,7,0,9
14,0,2,2,1,4,0,0,3,2,7,0,8
15,1,2,2,1,4,0,0,2,2,3,0,8
16,1,3,1,0,0,0,0,1,1,7,0,0
17,1,1,2,1,2,0,0,4,2,0,0,2
18,0,3,1,0,0,3,1,3,2,7,4,0
19,1,3,3,0,4,1,5,4,2,7,6,12
20,0,3,2,1,3,0,0,0,0,7,0,9
21,1,3,1,0,3,0,0,1,1,7,0,9
22,0,3,2,1,3,0,0,1,2,7,0,9
23,0,1,4,1,4,0,0,4,0,7,0,4
24,1,3,1,0,3,0,0,0,1,7,0,9
25,0,1,2,1,5,1,0,5,2,7,1,5
26,1,3,2,1,3,0,0,0,0,7,0,9
27,0,3,2,1,1,0,0,1,2,7,0,3
28,0,3,1,0,0,2,0,3,2,7,2,0
29,1,3,1,0,0,1,0,2,0,7,1,0
30,0,3,3,0,4,1,0,2,2,7,1,12
31,0,2,3,0,2,1,0,3,2,7,1,4
32,0,3,2,1,3,0,0,1,0,7,0,9
33,1,3,1,0,0,0,0,1,1,7,0,0
34,0,3,2,1,3,0,0,1,2,7,0,9
35,0,3,2,1,3,1,0,3,1,7,1,9
36,1,3,1,0,3,0,0,0,1,7,0,9
37,0,3,2,1,3,2,0,3,0,7,2,9
38,0,3,3,0,0,1,0,3,2,7,1,0
39,0,3,0,1,0,4,1,4,2,7,5,0
40,0,3,2,1,1,0,0,1,2,7,0,3
41,1,2,3,0,2,1,0,3,2,7,1,4
42,1,1,2,1,3,0,0,4,2,2,0,3
43,1,2,1,0,1,0,0,2,2,7,0,2
44,0,3,2,1,2,0,0,0,0,7,0,6
45,0,3,0,1,0,5,2,4,2,7,7,0
46,0,3,2,1,1,0,0,0,0,7,0,3
47,0,1,2,1,3,0,0,4,0,7,0,3
48,1,3,0,1,3,1,1,3,0,7,2,9
49,1,2,3,0,2,0,0,2,2,5,0,4
50,0,3,2,1,0,0,0,1,2,7,0,0
51,1,3,1,0,0,4,2,1,2,7,6,0
52,0,3,2,1,2,2,0,2,2,7,2,6
53,0,2,2,1,4,0,0,2,2,7,0,8
54,0,3,1,0,0,5,2,4,2,7,7,0
55,0,3,2,1,2,1,0,3,0,7,1,6
56,1,3,2,1,4,0,0,5,2,7,0,12
57,0,3,2,1,1,0,0,0,2,5,0,3
58,0,3,2,1,3,0,0,1,2,7,0,9
59,0,3,2,1,3,0,0,1,2,7,0,9
60,1,3,1,0,3,0,0,2,2,7,0,9
61,0,3,2,1,1,0,0,2,2,7,0,3
62,1,3,2,1,2,0,0,2,2,7,0,6
63,1,3,1,0,3,0,0,1,1,7,0,9
64,0,1,2,1,2,0,0,5,2,7,0,2
65,1,2,1,0,0,0,0,2,2,7,0,0
66,1,3,3,0,4,3,0,3,2,7,3,12
67,0,3,2,1,0,1,3,4,2,7,4,0
68,0,3,2,1,3,0,0,1,2,7,0,9
69,0,3,2,1,1,0,0,1,2,7,0,3
70,0,3,2,1,2,0,0,1,2,7,0,6
71,0,3,2,1,1,0,0,1,2,7,0,3
72,0,1,2,1,5,1,0,5,2,4,1,5
73,0,3,2,1,2,1,2,3,2,7,3,6
74,0,3,2,1,3,0,0,1,2,7,0,9
75,1,1,2,1,1,0,1,5,0,3,1,1
76,1,2,3,0,4,0,1,3,2,7,1,8
77,0,2,2,1,4,1,0,3,2,7,1,8
78,0,3,1,0,2,0,0,1,2,7,0,6
79,0,3,2,1,3,0,0,1,2,7,0,9
80,0,3,2,1,4,0,0,2,2,7,0,12
81,0,3,2,1,4,2,0,1,2,7,2,12
82,0,3,2,1,2,0,0,1,2,7,0,6
83,1,3,1,0,1,0,0,0,2,7,0,3
84,1,3,2,1,3,0,0,0,2,7,0,9
85,0,3,2,1,4,0,0,1,2,7,0,12
86,1,3,1,0,3,1,0,3,1,7,1,9
87,0,1,2,1,5,0,0,5,2,2,0,5
88,0,3,1,0,0,1,0,3,0,7,1,0
89,0,3,2,1,1,0,0,1,2,7,0,3
90,0,3,1,0,1,1,0,2,2,7,1,3
91,0,3,1,0,0,0,0,3,0,7,0,0
92,0,3,2,1,1,0,0,1,2,7,0,3
93,0,2,2,1,2,1,0,3,2,7,1,4
94,0,3,2,1,3,0,0,1,2,7,0,9
95,0,2,2,1,4,1,0,4,0,7,1,8
96,1,2,1,0,4,0,0,2,2,4,0,8
97,1,3,0,1,0,1,0,2,0,7,1,0
98,0,3,2,1,3,0,0,0,1,7,0,9
99,1,3,2,1,1,0,0,0,2,7,0,3
100,1,3,1,0,3,1,1,3,0,5,2,9
101,0,3,2,1,5,0,0,0,2,7,0,15
102,0,3,2,1,4,0,0,1,0,7,0,12
103,0,3,2,1,1,0,0,0,2,7,0,3
104,0,3,3,0,5,1,0,3,2,7,1,15
105,1,2,3,0,2,1,0,3,2,7,1,4
106,0,2,2,1,1,0,0,2,2,7,0,2
107,0,2,2,1,1,0,0,3,0,7,0,2
108,1,1,1,0,0,0,2,4,2,3,2,0
109,0,1,2,1,4,1,0,5,2,2,1,4
110,0,3,2,1,0,0,0,2,2,7,0,0
111,0,3,3,0,3,0,2,3,0,7,2,9
112,1,3,1,0,1,0,0,0,2,7,0,3
113,1,3,3,0,1,1,0,3,2,7,1,3
114,0,3,2,1,0,0,0,0,1,7,0,0
115,0,2,2,1,0,0,0,2,2,7,0,0
116,0,2,2,1,0,1,1,4,2,7,2,0
117,1,3,2,1,2,0,0,1,2,7,0,6
118,0,3,1,0,0,2,2,4,2,7,4,0
119,0,2,2,1,4,0,2,3,2,5,2,8
120,0,2,4,1,5,0,0,2,2,7,0,10
121,0,2,4,1,5,0,0,2,2,7,0,10
122,1,1,3,0,1,1,0,5,2,2,1,1
123,0,3,2,1,5,0,2,3,2,7,2,15
124,0,3,2,1,3,0,0,0,2,7,0,9
125,0,1,2,1,5,0,1,5,0,7,1,5
126,1,3,1,0,0,0,0,0,1,7,0,0
127,0,3,2,1,3,0,0,1,2,7,0,9
128,0,3,2,1,3,0,0,2,2,7,0,9
129,0,3,2,1,5,0,1,3,2,7,1,15
130,1,2,3,0,4,0,0,3,2,7,0,8
131,0,3,2,1,2,0,0,0,2,7,0,6
132,0,3,2,1,0,0,0,2,2,7,0,0
133,1,3,0,1,0,0,2,3,2,7,2,0
134,1,1,3,0,3,0,1,5,2,4,1,3
135,0,3,3,0,5,1,4,4,2,7,5,15
136,0,1,2,1,3,0,0,3,2,7,0,3
137,0,3,2,1,2,0,0,5,2,7,0,6
138,0,3,2,1,1,0,0,1,2,7,0,3
139,0,3,2,1,0,1,1,1,2,7,2,0
140,0,3,0,1,3,3,1,3,2,7,4,9
141,0,1,1,0,5,0,0,4,0,2,0,5
142,0,2,2,1,3,0,0,2,2,7,0,6
143,0,3,2,1,4,0,0,0,2,7,0,12
144,0,2,2,1,3,0,0,3,0,7,0,6
145,0,3,0,1,0,4,2,4,2,7,6,0
146,0,1,2,1,3,0,0,5,2,0,0,3
147,1,3,3,0,3,1,0,3,1,7,1,9
148,1,1,2,1,5,0,0,4,2,7,0,5
149,0,3,2,1,4,1,1,3,1,7,2,12
150,0,3,2,1,4,0,0,1,2,7,0,12
151,1,2,3,0,4,0,0,2,2,7,0,8
152,0,2,2,1,0,0,0,2,2,7,0,0
153,1,3,1,0,0,1,0,1,2,7,1,0
154,1,1,3,0,5,0,0,4,0,1,0,5
155,0,3,2,1,3,0,0,0,1,7,0,9
156,0,3,2,1,5,0,1,2,2,7,1,15
157,1,3,1,0,3,0,0,0,1,7,0,9
158,0,2,1,0,1,0,0,2,2,7,0,2
159,0,3,2,1,2,0,0,2,2,7,0,6
160,0,3,2,1,4,0,0,0,2,7,0,12
161,0,3,2,1,5,0,0,0,0,7,0,15
162,1,3,2,1,0,0,0,1,2,7,0,0
163,0,3,2,1,4,1,0,3,2,7,1,12
164,1,3,2,1,2,0,0,3,0,7,0,6
165,1,3,1,0,0,0,0,0,1,7,0,0
166,1,1,2,1,4,0,0,4,0,0,0,4
167,0,3,2,1,1,0,0,0,2,7,0,3
168,1,2,1,0,4,0,0,3,2,7,0,8
169,0,3,2,1,1,0,0,0,2,7,0,3
170,0,2,2,1,3,0,0,2,2,7,0,6
171,0,3,2,1,3,1,0,0,1,7,1,9
172,1,3,1,0,2,0,0,1,2,7,0,6
173,0,2,2,1,5,1,0,4,2,7,1,10
174,0,2,2,1,3,0,0,2,2,7,0,6
175,1,3,2,1,0,0,0,1,2,7,0,0
176,0,2,2,1,2,0,0,2,2,7,0,4
177,0,3,2,1,5,0,0,1,2,7,0,15
178,0,3,2,1,3,0,0,1,2,7,0,9
179,0,3,2,1,1,0,0,2,2,7,0,3
180,1,2,2,1,0,0,0,2,2,7,0,0
181,0,3,2,1,1,0,0,0,2,7,0,3
182,0,2,2,1,0,0,0,2,2,7,0,0
183,0,3,1,0,3,3,1,3,2,7,4,9
184,0,3,2,1,2,0,0,0,2,7,0,6
185,0,2,2,1,1,0,0,2,2,7,0,2
186,0,3,1,0,3,0,0,0,2,7,0,9
187,0,2,2,1,5,1,0,3,2,7,1,10
188,1,2,1,0,0,0,2,4,2,7,2,0
189,0,2,2,1,0,0,0,2,2,7,0,0
190,0,2,2,1,4,0,0,2,2,7,0,8
191,0,3,1,0,3,1,0,3,0,7,1,9
192,1,3,1,0,3,1,0,3,1,7,1,9
193,0,2,2,1,2,0,0,2,2,7,0,4
194,0,3,2,1,1,0,0,0,2,7,0,3
195,0,3,2,1,3,0,0,0,0,7,0,9
196,0,3,1,0,1,0,0,0,2,7,0,3
197,1,2,3,0,1,0,2,3,2,7,2,2
198,1,1,2,1,4,1,1,5,2,3,2,4
199,0,2,4,1,5,1,0,3,2,7,1,10
200,0,3,2,1,3,0,0,0,2,7,0,9
201,0,3,3,0,2,1,1,2,2,6,2,6
202,0,3,2,1,3,1,0,3,2,7,1,9
203,0,3,3,0,5,0,2,3,2,7,2,15
204,1,3,3,0,2,0,2,3,0,7,2,6
205,1,2,3,0,5,0,1,3,2,7,1,10
206,0,3,2,1,3,0,0,0,1,7,0,9
207,0,1,2,1,4,0,0,0,2,1,0,4
208,0,3,1,0,3,0,0,0,1,7,0,9
209,0,2,2,1,4,0,0,2,2,7,0,8
210,0,3,2,1,0,4,1,4,2,7,5,0
211,1,3,2,1,1,1,0,0,2,7,1,3
212,0,1,2,1,3,0,0,4,2,7,0,3
213,1,3,2,1,1,0,0,0,2,7,0,3
214,1,2,3,0,5,0,1,3,2,7,1,10
215,0,1,2,1,4,0,1,4,0,2,1,4
216,1,3,1,0,3,0,0,0,1,7,0,9
217,0,3,1,0,5,0,0,0,2,7,0,15
218,0,2,2,1,3,0,0,0,2,7,0,6
219,0,3,0,1,0,4,1,4,1,7,5,0
220,1,3,3,0,4,1,1,3,2,7,2,12
221,0,3,2,1,2,0,0,1,2,7,0,6
222,0,3,2,1,0,0,0,2,2,7,0,0
223,1,3,2,1,0,0,0,1,2,7,0,0
224,0,1,2,1,3,0,0,3,2,0,0,3
225,0,3,2,1,4,0,0,2,0,7,0,12
226,1,3,2,1,3,0,0,2,2,7,0,9
227,0,3,2,1,1,0,0,1,2,7,0,3
228,1,2,2,1,5,0,0,2,2,7,0,10
229,1,3,1,0,1,0,0,0,1,7,0,3
230,0,2,2,1,4,0,0,2,0,3,0,8
231,0,3,1,0,1,0,0,2,2,7,0,3
232,0,3,2,1,1,0,0,1,2,7,0,3
233,0,1,2,1,3,0,0,4,0,7,0,3
234,0,3,2,1,1,0,0,0,0,7,0,3
235,1,1,2,1,3,0,0,4,2,2,0,3
236,1,3,1,0,3,0,0,0,1,7,0,9
237,1,3,2,1,3,2,0,3,1,7,2,9
238,0,3,2,1,0,0,0,0,2,7,0,0
239,1,2,1,0,3,0,0,2,1,4,0,6
240,0,3,2,1,3,0,0,1,2,7,0,9
241,0,2,2,1,3,1,0,3,0,7,1,6
242,1,1,1,0,3,0,0,5,0,4,0,3
243,0,2,3,0,2,1,1,3,2,7,2,4
244,0,3,2,1,2,0,0,1,2,7,0,6
245,0,2,2,1,5,1,1,4,2,7,2,10
246,1,3,1,0,2,0,0,1,2,7,0,6
247,1,2,3,0,1,1,0,3,2,7,1,2
248,0,2,4,1,5,0,0,3,2,7,0,10
249,0,3,2,1,1,0,0,0,2,7,0,3
250,0,3,2,1,2,0,0,1,2,7,0,6
251,1,2,1,0,3,0,0,2,1,7,0,6
252,1,2,3,0,1,1,1,4,2,7,2,2
253,1,2,3,0,4,0,0,2,2,3,0,8
254,1,3,3,0,4,1,1,3,2,7,2,12
255,1,1,1,0,0,0,1,5,0,1,1,0
256,1,3,1,0,3,2,0,3,1,7,2,9
257,0,1,2,1,5,0,0,4,2,2,0,5
258,0,3,2,1,0,2,0,3,2,7,2,0
259,0,3,2,1,3,0,0,1,2,7,0,9
260,0,1,2,1,2,1,0,5,2,2,1,2
261,1,3,2,1,5,0,0,1,2,7,0,15
262,0,1,2,1,5,0,0,4,2,8,0,5
263,0,2,2,1,2,0,0,2,2,7,0,4
264,0,2,2,1,1,0,0,2,2,7,0,2
265,0,2,2,1,4,0,0,2,2,7,0,8
266,1,2,1,0,1,0,0,2,2,5,0,2
267,1,2,1,0,4,0,0,2,2,7,0,8
268,1,3,3,0,3,1,0,3,2,7,1,9
269,0,3,2,1,5,0,0,2,2,7,0,15
270,0,3,2,1,1,0,0,2,2,7,0,3
271,0,1,2,1,3,0,0,4,2,2,0,3
272,0,3,2,1,0,1,1,0,0,7,2,0
273,0,3,2,1,1,1,0,3,2,7,1,3
274,0,3,2,1,3,0,0,0,0,7,0,9
275,0,3,2,1,2,0,0,2,2,7,0,6
276,1,1,1,0,1,0,1,5,2,4,1,1
277,0,2,1,0,4,0,0,2,2,7,0,8
278,1,3,1,0,3,0,0,1,1,7,0,9
279,1,3,1,0,3,0,0,1,1,7,0,9
280,0,3,2,1,4,1,4,4,2,7,5,12
281,0,2,2,1,2,1,0,4,0,7,1,4
282,0,3,3,0,5,0,1,3,0,7,1,15
283,0,3,2,1,4,0,0,0,2,7,0,12
284,0,3,2,1,3,1,0,3,1,7,1,9
285,0,3,2,1,3,0,0,0,2,7,0,9
286,1,3,3,0,3,0,0,0,0,7,0,9
287,1,3,1,0,3,0,0,0,1,7,0,9
288,1,1,2,1,1,1,0,5,0,4,1,1
289,0,3,2,1,0,1,0,0,2,7,1,0
290,0,3,2,1,0,0,0,1,2,7,0,0
291,1,3,1,0,1,0,0,0,2,7,0,3
292,0,3,2,1,1,0,0,0,0,7,0,3
293,0,3,2,1,0,0,0,0,2,7,0,0
294,0,3,2,1,4,0,0,1,2,7,0,12
295,1,1,3,0,4,1,0,5,2,7,1,4
296,0,3,2,1,3,0,0,1,2,7,0,9
297,1,2,1,0,4,0,0,2,2,7,0,8
298,0,3,2,1,3,0,0,0,1,7,0,9
299,1,2,1,0,0,0,0,2,0,7,0,0
300,1,3,2,1,1,0,0,1,2,7,0,3
301,0,3,2,1,2,2,0,1,2,7,2,6
302,1,3,3,0,1,0,2,3,2,6,2,3
303,0,3,2,1,1,0,0,1,2,7,0,3
304,0,3,1,0,4,0,0,1,2,7,0,12
305,0,2,2,1,5,0,0,3,2,7,0,10
306,0,2,4,1,1,0,0,2,2,7,0,2
307,1,2,3,0,2,0,0,2,2,7,0,4
308,1,3,2,1,4,0,0,1,2,7,0,12
309,0,3,2,1,2,0,0,1,2,7,0,6
310,0,3,1,0,1,1,0,2,2,7,1,3
311,0,3,2,1,2,1,0,3,2,7,1,6
312,0,3,1,0,1,0,0,2,2,7,0,3
313,0,2,2,1,4,1,0,3,2,7,1,8
314,0,3,2,1,5,0,0,0,2,7,0,15
315,0,3,2,1,1,0,0,0,2,7,0,3
316,0,3,1,0,3,3,1,3,2,7,4,9
317,0,3,2,1,3,0,0,1,2,7,0,9
318,0,3,2,1,3,0,0,0,1,7,0,9
319,0,2,2,1,3,0,0,0,2,7,0,6
320,1,3,2,1,5,0,0,1,2,7,0,15
321,0,3,3,0,3,0,0,1,2,7,0,9
322,1,2,3,0,4,1,1,4,2,7,2,8
323,1,2,1,0,0,0,2,2,2,7,2,0
324,0,2,2,1,3,0,0,2,2,7,0,6
325,0,3,1,0,0,0,2,3,2,7,2,0
326,0,3,2,1,3,0,0,1,0,7,0,9
327,0,3,2,1,1,0,0,0,1,7,0,3
328,0,3,2,1,2,0,0,1,2,7,0,6
329,0,3,3,0,2,1,1,3,2,7,2,6
330,0,3,2,1,0,1,1,3,2,7,2,0
331,0,3,2,1,3,0,0,0,2,7,0,9
332,1,2,3,0,2,1,0,3,2,7,1,4
333,1,2,1,0,0,0,0,3,2,7,0,0
334,0,3,2,1,3,0,0,0,1,7,0,9
335,1,3,2,1,4,0,0,1,2,4,0,12
336,1,1,2,1,2,0,0,4,2,2,0,2
337,1,3,3,0,3,1,0,3,2,7,1,9
338,1,2,3,0,5,1,0,3,2,7,1,10
339,0,3,2,1,0,0,0,0,2,7,0,0
340,0,1,2,1,5,1,0,5,2,4,1,5
341,0,3,1,0,1,2,2,4,2,7,4,3
342,1,2,3,0,1,2,3,3,2,7,5,2
343,0,2,2,1,4,0,0,2,2,7,0,8
344,1,2,3,0,5,1,1,4,2,7,2,10
345,0,3,2,1,1,0,0,2,2,7,0,3
346,0,3,2,1,1,1,0,0,2,7,1,3
347,1,2,1,0,2,0,0,2,2,7,0,4
348,1,3,2,1,3,0,0,1,2,7,0,9
349,1,2,1,0,0,0,1,3,2,7,1,0
350,1,1,2,1,4,0,0,4,2,7,0,4
351,1,1,4,1,5,0,0,4,2,2,0,5
